country,cold wave,drought,flood,heat wave,storms,tropical cyclone
australia,0,0,13.8336196,0,11.95512101,10.78849399
bangladesh,5.298317367,0,5.932245187,0,0,11.68637444
canada,0,0,0,0,0,4.605170186
china,0,0,5.411646052,0,12.506355,16.65083033
costa rica,0,0,12.28304758,0,0,13.45890847
cuba,0,0,0,0,0,12.76476229
djibouti,0,11.51292546,0,0,0,0
dominican republic (the),0,0,0,0,0,10.12759064
egypt,0,0,0,3.091042453,0,0
el salvador,0,0,0,0,0,3.091042453
france,0,0,0,0,0,2.397895273
germany,0,0,0,0,0,6.214608098
guatemala,0,0,0,0,0,6.214608098
haiti,0,0,5.043425117,0,0,4.836281907
honduras,0,0,0,0,0,7.313886832
india,0,13.20375902,0,0,0,16.18378385
iran (islamic republic of),0,0,9.502562124,0,0,0
ireland,0,0,0,0,0,6.909753282
jamaica,0,0,0,0,0,8.242756346
japan,0,0,0,0,0,8.655911111
lesotho,0,0,5.521460918,0,0,0
madagascar,0,0,0,0,0,11.51301546
malaysia,0,0,0,0,0,10.94103971
martinique,0,0,0,0,0,2.302585093
mauritius,0,0,0,0,0,1.098612289
mexico,0,13.99783211,7.135687347,0,0,9.83091686
morocco,0,0,2.63905733,0,0,0
mozambique,0,0,0,0,0,12.2761163
nepal,0,0,3.663561646,0,0,0
new zealand,0,0,7.601402335,0,0,0
nicaragua,0,0,0,0,0,9.945972164
pakistan,0,0,0,3.465735903,0,0
philippines (the),0,0,8.509564164,0,0,11.22329483
puerto rico,0,0,0,0,0,13.23091819
romania,0,0,0,5.375278408,0,0
rwanda,0,11.31447453,0,0,0,0
south africa,3.401197382,0,0,0,0,0
sudan (the),0,11.98292909,0,0,0,0
taiwan (province of china),0,0,0,0,0,14.07792482
tanzania united republic of,0,14.91412285,0,0,0,0
thailand,0,0,0,0,0,13.10906535
united kingdom of great britain and northern irela,0,0,0,0,0,12.65077449
united states of america (the),0,0,0,0,5.937536205,15.04047323
viet nam,0,0,0,0,0,14.05287255
virgin island (british),0,0,0,0,0,7.602401336
