country,cold wave,drought,flood,heat wave,storms,tropical cyclone
afghanistan,0,0,2.302585093,0,0,0
argentina,0,0,10.96845688,0,0,0
australia,0,0,7.61332498,14.91429517,9.214830277,0
austria,0,0,0,0,6.907755279,0
bangladesh,0,0,11.57474467,0,13.53053283,9.216719979
bulgaria,0,0,0,0,8.517193191,0
chad,0,12.61153775,0,0,0,0
china,0,0,8.972083183,0,12.62389772,16.08835536
cuba,0,0,0,0,13.95508118,0
eritrea,0,14.28551419,0,0,9.944773439,0
fiji,0,0,0,0,0,12.46852921
france,0,0,13.12278729,0,10.84972536,0
germany,0,0,12.84794232,0,10.30895266,0
guinea-bissau,0,0,0,0,0,7.451241685
haiti,0,0,0,0,0,0
hong kong,0,0,12.18143666,0,0,9.001222992
india,0,13.97677871,0,0,0,12.0592302
iran (islamic republic of),0,0,0,0,9.61580548,0
italy,0,0,13.34711843,0,0,0
japan,0,0,0,0,2.890371758,14.39243736
korea (the democratic people's republic of),0,0,0,0,0,11.63076183
korea (the republic of),0,0,10.54678776,0,0,0
lao people's democratic republic (the),0,0,12.61910571,0,0,0
lithuania,0,0,13.57293696,0,0,0
macao,0,0,7.395721609,0,0,7.765144903
macedonia (the former yugoslav republic of),0,9.210340372,0,0,0,0
martinique,0,0,0,0,0,8.010359589
mauritania,0,13.00921036,0,0,0,0
mexico,0,0,0,0,7.824046011,14.37343234
mongolia,0,0,11.60829928,0,0,0
nicaragua,0,0,0,0,0,11.7202404
norway,0,0,0,0,0,8.006367568
pakistan,0,0,0,0,0,6.411818268
papua new guinea,0,0,0,0,0,10.63477313
philippines (the),0,0,11.60849016,0,0,15.14238899
r�union,0,0,0,0,0,2.63905733
romania,0,0,5.313205979,0,0,0
russian federation (the),5.707110265,0,0,0,0,0
solomon islands,0,0,0,0,0,11.39080303
south africa,0,0,1.945910149,0,0,0
switzerland,0,0,12.94801475,0,10.07575877,0
thailand,0,7.60090246,12.75387608,0,0,0
trinidad and tobago,0,0,0,0,0,4.043051268
tuvalu,0,0,0,0,0,5.010635294
united states of america (the),0,0,15.42503327,3.871201011,11.73928783,4.158883083
uruguay,0,0,7.60090246,0,0,0
vanuatu,0,0,0,0,0,9.798626912
venezuela (bolivarian republic of),0,0,0,0,0,9.259130536
viet nam,0,0,0,0,7.610357618,11.53217892
