country,cold wave,drought,flood,heat wave,storms,tropical cyclone
algeria,0,0,2.564949357,3.688879454,0,0
argentina,0,11.69524702,0,0,6.81563999,0
australia,0,0,0,0,11.46236874,0
austria,0,0,0,12.54377627,0,0
bangladesh,5.866468057,0,3.36729583,4.127134385,0,6.11146734
belgium,0,0,0,7.069023427,0,0
bermuda,0,0,0,0,0,12.61155109
bosnia and herzegovina,0,12.21886547,0,0,0,0
burundi,0,0,0,0,0,0
canada,0,0,0,0,0,11.61007032
china,0,17.74733619,0,0,12.57854958,16.09051282
comoros (the),0,0,5.703782475,0,0,0
congo (the democratic republic of the),0,0,0,0,4.430816799,10.02202586
croatia,0,12.70684793,0,6.66949809,0,0
cyprus,0,0,0,0,9.213335881,0
czech republic (the),0,0,0,6.035481433,0,0
dominican republic (the),0,0,0,0,0,9.211140052
ethiopia,0,16.34920737,0,0,0,0
fiji,0,0,0,0,0,11.00238313
france,0,0,4.317488114,15.30153486,3.931825633,0
gambia (the),0,0,8.989943046,0,0,0
germany,0,0,0,14.32193953,7.457069757,0
haiti,0,10.46310334,5.198497031,0,0,0
hong kong,0,0,0,0,0,8.171034189
hungary,0,11.51292546,0,0,1.945910149,0
india,5.991464547,0,5.472270674,12.90224026,13.12623587,11.20231589
indonesia,0,9.680344001,0,0,0,0
italy,0,0,0,15.30167039,0,0
japan,0,0,0,0,0,11.5845389
korea (the republic of),0,0,0,0,0,15.33723794
latvia,2.708050201,0,0,0,0,0
luxembourg,0,0,0,5.135798437,0,0
madagascar,0,0,0,0,0,12.00051726
mexico,3.044522438,0,0,0,0,11.59913986
micronesia (federated states of),0,0,0,0,0,6.907755279
mozambique,0,11.69114696,0,0,0,10.04416212
nepal,3.871201011,0,0,0,0,0
netherlands (the),0,0,0,6.872128101,0,0
new caledonia,0,0,0,0,0,10.62381206
new zealand,0,0,8.007034012,0,0,0
oman,0,0,6.937314081,0,0,0
pakistan,0,0,7.866338923,5.298317367,0,0
peru,14.42539949,0,0,0,0,0
philippines (the),0,0,10.4778512,0,0,13.05223701
portugal,0,0,0,7.899524472,0,0
puerto rico,0,0,0,0,0,4.605170186
russian federation (the),0,13.81551056,0,0,0,0
rwanda,0,13.81551056,0,0,0,0
slovakia,0,0,0,11.91839057,0,0
slovenia,0,0,0,11.2933879,0,0
solomon islands,0,0,0,0,0,6.052089169
south africa,0,0,6.396929655,0,0,0
spain,0,0,0,13.70467955,0,0
switzerland,0,0,0,12.54624873,8.518592212,0
taiwan (province of china),0,0,0,0,0,1.098612289
tanzania united republic of,0,14.45736444,0,0,0,0
thailand,0,0,0,0,8.517193191,0
united kingdom of great britain and northern irela,0,0,0,5.707110265,0,0
united states of america (the),0,0,14.73230836,0,16.03969369,15.10887351
viet nam,0,0,0,0,0,8.520786727
zimbabwe,0,0,0,0,0,2.079441542
