country,cold wave,drought,flood,heat wave,storms,tropical cyclone
antigua and barbuda,,,,,,12.77621568
argentina,10.1266311,,8.700514249,,,
australia,,,13.18453222,13.12256536,10.05852355,11.56221074
bahamas (the),,,,,,5.991464547
bangladesh,4.787491743,,14.8700055,,10.8897893,12.42990396
barbados,,,,,,0
belgium,,,11.52095316,,,
burkina faso,,11.23307928,,,,
canada,,,,,,11.51294546
chile,9.903587548,,,,,
china,,16.02079148,15.68926437,,12.75729906,11.63021949
costa rica,,,,,,9.572341109
cuba,,,,,,7.68017564
djibouti,,,6.652863029,,,
dominica,,,,,,12.20608765
dominican republic (the),,,7.827639546,,5.805134969,
egypt,,,,3.465735903,,
france,,,13.46597578,,,
germany,,,12.76570272,,12.25295623,
guadeloupe,,,,,,10.81977828
honduras,,,,,,3.688879454
india,,,,6.324358962,,11.01076221
japan,,,,,,9.220587688
kazakhstan,,,8.043020885,,,
korea (the republic of),,,,,,13.25380033
lao people's democratic republic (the),,,,,,13.81553656
liberia,,,7.60090246,,,
luxembourg,,,9.210340372,,,
martinique,,,,,,11.98292909
mexico,3.891820298,11.51292546,8.012018239,,,14.72725216
montserrat,,,,,,9.903487553
namibia,,12.00273172,,,,
netherlands (the),,,14.1731857,,,
netherlands antilles,,,,,,13.85473319
nicaragua,,,,,,9.623972043
philippines (the),,,12.42630396,,,15.02336044
puerto rico,,,,,,12.8942098
russian federation (the),5.755742214,,7.674152921,2.995732274,10.70443477,
saint kitts and nevis,,,,,,12.20005457
south africa,,12.61153775,,,,
spain,13.62228982,,,4.605170186,,
thailand,,,,,,3.295836866
united kingdom of great britain and northern irela,,,,,13.38474149,
united states of america (the),3.688879454,,15.3939126,6.507277712,14.91414551,15.58775382
viet nam,,,,,,10.69799476
virgin island (british),,,,,,9.210340372
virgin island (u.s.),,,,,,13.76000525
zambia,,14.05704712,,,,
