country,cold wave,drought,flood,storms,tropical cyclone
albania,0,14.97866137,0,0,0
american samoa,0,0,0,0,8.517193191
angola,0,14.45736444,0,0,0
antigua and barbuda,0,0,0,0,11.38545566
australia,0,0,0,0,11.58909916
bangladesh,5.135798437,15.42494847,0,11.68687877,7.608374474
bermuda,0,0,0,0,0
brazil,0,0,10.71521745,0,0
canada,0,0,0,0,0
china,0,0,0,17.23020807,15.95431817
comoros (the),0,0,0,0,8.563313127
dominica,0,0,0,0,9.938371954
dominican republic (the),0,0,0,0,0
ethiopia,0,15.68731273,0,0,0
france,0,14.28551419,2.197224577,0,0
guadeloupe,0,0,0,0,11.0200871
hong kong,0,0,0,0,7.456454555
india,4.844187086,0,0,0,15.12386851
japan,0,0,0,0,2.708050201
korea (the republic of),0,0,0,0,12.43640231
lesotho,0,0,0,0,0
madagascar,0,0,0,0,10.92219046
martinique,0,0,0,0,0
mauritius,0,0,0,0,11.07454453
montserrat,0,0,0,0,12.43738673
netherlands antilles,0,0,0,0,10.81999826
new caledonia,0,0,0,0,0.693147181
philippines (the),0,0,0,0,14.65203401
portugal,0,0,0,0,0
puerto rico,0,0,0,0,7.60090246
r�union,0,0,0,0,10.93793458
rwanda,0,11.00604206,0,0,0
saint kitts and nevis,0,0,0,0,10.76428672
samoa,0,0,0,0,9.648595303
spain,0,0,3.496507561,0,0
taiwan (province of china),0,0,0,0,2.564949357
thailand,0,0,0,0,13.38696821
togo,0,12.89921983,0,0,0
united kingdom of great britain and northern irela,0,0,2.564949357,0,0
united states of america (the),4.430816799,0,12.84826332,3.295836866,15.83374841
viet nam,0,0,0,0,15.67793319
virgin island (u.s.),0,0,0,0,10.36722157
