country,cold wave,drought,heat wave,severe winter conditions,storms,tropical cyclone
argentina,0,0,0,0,3.526360525,0
australia,0,0,7.760893196,0,11.22525673,5.991464547
austria,0.693147181,0,0,0,13.12236338,0
bangladesh,10.82247465,0,0,0,0,15.25646994
belgium,0,0,0,0,0,0
benin,0,0,0,0,6.684611728,0
bhutan,0,0,0,0,0,2.48490665
bosnia and herzegovina,0,0,0,9.210440367,0,0
botswana,0,0,0,0,5.991464547,0
brazil,0,0,0,0,7.769800996,0
burundi,0,12.10071213,0,0,0,0
cambodia,0,0,0,0,0,12.09015662
canada,0,0,0,0,13.12236738,1.098612289
central african republic,0,0,0,0,9.470779708,0
chad,0,14.6909793,0,0,0,0
china,0,17.97063659,0,0,16.39160808,16.436745
czech republic (the),0,0,0,0,2.63905733,0
ecuador,0,11.60093634,0,0,0,0
el salvador,0,10.20359214,0,0,0,13.84436523
ethiopia,0,15.64005985,0,0,0,0
fiji,0,0,0,0,0,9.74957851
france,1.386294361,0,0,5.313205979,14.97866481,0
gabon,0,0,0,0,6.684611728,0
gambia (the),0,0,0,0,7.762170607,0
germany,2.708050201,0,0,0,10.81979828,0
guatemala,0,14.73180129,0,0,0,0
honduras,0,10.71441777,0,0,0,0
hong kong,0,0,0,0,0,5.857933154
india,0,0,4.976733742,0,9.12554472,15.50193099
italy,0,0,0,0,1.098612289,0
japan,0,0,0,0,0,13.82262022
kyrgyzstan,0,14.50865774,0,0,0,0
lao people's democratic republic (the),0,0,0,0,0,12.34105361
madagascar,0,0,0,0,0,11.81912993
mexico,0,0,0,0,0,11.93166212
mongolia,13.63052706,0,0,0,0,0
mozambique,0,0,0,0,0,9.220587688
nepal,2.890371758,12.62148808,0,0,0,0
nicaragua,0,0,0,0,0,9.898324246
niger (the),0,15.88237332,0,0,0,0
paraguay,0,12.20607265,0,0,6.551080335,0
peru,10.10789671,0,0,0,0,0
philippines (the),0,0,0,0,4.65396035,16.39235071
poland,5.697093487,0,0,0,4.49980967,0
portugal,0,0,0,0,0,0
romania,4.304065093,0,0,0,0,0
serbia,0,0,0,6.214608098,0,0
south africa,0,0,0,0,9.617071345,0
south sudan,0,15.27412558,0,0,0,0
spain,0,0,0,0,14.45737181,0
switzerland,0,0,0,0,13.81551056,0
taiwan (province of china),0,0,0,0,0,14.75479607
tanzania united republic of,0,0,0,0,6.405228458,0
ukraine,3.465735903,0,0,0,0,0
united kingdom of great britain and northern irela,3.912023005,0,0,0,5.204006687,0
united states of america (the),13.91087346,0,0,0,16.09697048,13.30471493
venezuela (bolivarian republic of),0,0,0,0,0,0
viet nam,0,0,0,0,0,15.21248914
