country,drought,flood,storms,tropical cyclone
bangladesh,0,0,0,7.207859871
china,0,0,0,6.530877628
cuba,0,0,0,0
dominican republic (the),0,0,0,6.914730893
ecuador,13.30468493,0,0,0
guadeloupe,0,0,0,9.221675882
haiti,0,0,0,11.40867544
hong kong,0,0,0,6.120297419
india,13.40904495,0,0,6.214608098
iran (islamic republic of),13.34550693,0,0,0
japan,0,0,0,3.737669618
korea (the republic of),0,11.38554654,0,0
nepal,0,0,0,0
pakistan,0,0,0,12.91053062
panama,0,0,6.708084084,0
philippines (the),0,0,0,14.05388316
samoa,0,0,5.521460918,0
somalia,13.45890704,0,0,0
south africa,8.517193191,0,0,0
sri lanka,0,0,0,12.94205419
turkey,0,0,9.560997244,0
united states of america (the),0,4.941642423,0,12.42938818
viet nam,0,0,0,13.53711853
