country,cold wave,drought,flood,heat wave,severe winter conditions,storms,tropical cyclone
australia,0,0,14.73184329,13.91099254,0,12.98977782,3.091042453
austria,0,0,7.60090246,0,0,0,0
bangladesh,3.36729583,0,8.582044164,0,0,0,13.56881559
bhutan,0,0,0,0,0,0,11.08240405
bolivia (plurinational state of),0,10.81977828,0,0,0,0,0
brazil,13.07107008,0,0,0,0,11.44035477,0
cambodia,0,15.4447511,0,0,0,0,0
canada,0,0,0,0,0,8.367300102,0
china,0,18.44483858,14.59514731,4.644390899,0,0,17.07781182
costa rica,0,6.907755279,0,0,0,0,0
cuba,0,0,0,0,0,0,12.26682902
el salvador,0,6.907755279,0,0,0,0,0
germany,0,0,12.89923483,0,0,13.37732337,0
guatemala,0,9.210340372,0,0,0,0,0
haiti,0,0,14.30906102,0,0,0,0
honduras,0,9.210340372,0,0,0,0,0
india,0,0,0,5.081404365,0,4.709530201,13.01211985
italy,0,0,0,0,0,4.634728988,0
jamaica,0,0,6.9117473,0,0,0,0
japan,0,0,0,0,0,4.787491743,8.701180028
kenya,0,13.99783211,0,0,0,0,0
korea (the republic of),0,0,0,0,0,0,4.844187086
madagascar,0,0,0,0,0,0,13.21851502
mauritius,0,0,0,0,0,0,11.83284721
moldova (the republic of),0,0,0,0,0,10.14968335,0
mozambique,0,0,0,0,0,0,14.73269689
myanmar,0,0,0,0,0,0,11.22507004
netherlands (the),0,0,7.60090246,0,0,0,0
new zealand,0,11.51292546,0,0,0,0,0
nicaragua,0,11.41861479,0,0,0,0,0
pakistan,0,0,4.025351691,0,0,0,0
philippines (the),0,0,11.23875174,0,0,0,14.53639838
poland,0,0,6.908754779,0,0,0,0
puerto rico,0,7.60090246,0,0,0,0,0
romania,0,0,0,0,0,8.595264727,0
russian federation (the),3.737669618,0,0,0,0,8.678291112,11.00209984
saint lucia,0,0,0,0,0,0,6.625392368
somalia,0,0,0,0,0,0,3.401197382
south africa,0,0,0,0,0,7.60190196,0
spain,0,0,2.48490665,0,0,0,0
switzerland,0,0,8.517193191,0,0,0,0
taiwan (province of china),0,0,0,0,0,0,13.03382283
tanzania united republic of,0,0,0,0,0,0,7.825644732
thailand,0,0,0,0,0,0,10.46364605
turkey,0,0,3.401197382,0,8.987196821,0,0
united states of america (the),0,0,13.30533306,0,0,7.294377299,12.50637722
viet nam,0,0,0,0,0,0,10.93364254
