country,cold wave,drought,flood,heat wave,storms,tropical cyclone
albania,0,0,0,1.098612289,0,0
american samoa,0,0,0,0,0,12.06139363
angola,0,10.1266311,0,0,0,0
argentina,1.609437912,0,0,0,0,0
australia,0,0,11.01284194,0,0,0
bahamas (the),0,0,0,0,0,14.25956285
bangladesh,0,0,7.172424577,0,9.748936793,0
barbados,0,0,0,0,0,8.679482094
bolivia (plurinational state of),0,10.91508846,0,0,0,0
brazil,0,14.31628585,0,0,0,13.12249137
burundi,0,0,9.648595303,0,0,0
canada,0,0,0,0,11.51292546,0
canary is,0,0,0,4.836281907,0,0
cayman islands (the),0,0,0,0,0,15.04955136
chile,0,0,0,0,0,0
china,0,0,10.76496301,3.663561646,13.40635967,16.24018469
cuba,0,8.051659557,0,0,0,14.18517853
cyprus,0,0,2.302585093,0,0,0
dominican republic (the),0,0,0,0,0,12.64842883
egypt,0,0,4.007333185,0,0,0
fiji,0,0,0,0,0,9.106756056
france,0,0,2.397895273,0,0,0
gambia (the),0,0,8.722417141,0,0,0
germany,0,0,11.77530511,0,0,0
greece,0,0,12.7367009,0,0,0
grenada,0,0,0,0,0,13.76320517
guam,0,0,0,0,0,7.170888479
haiti,0,0,0,0,0,12.83694807
honduras,0,11.8313792,0,0,0,0
indonesia,0,0,0,0,7.784889296,7.181591945
iran (islamic republic of),0,0,7.915713199,0,0,0
ireland,0,0,5.298317367,0,0,0
italy,0,0,0,0,5.308267697,0
jamaica,0,0,0,0,0,14.03476014
japan,0,0,0,5.736572297,0,16.55471945
kenya,0,14.64845446,0,0,0,0
korea (the republic of),0,0,0,0,13.25339164,12.44483755
macedonia (the former yugoslav republic of),0,0,0,2.708050201,0,0
madagascar,0,0,0,0,0,14.06457446
malaysia,0,0,10.62135174,0,0,0
mexico,2.63905733,0,0,0,0,0
micronesia (federated states of),0,0,0,0,0,8.701013624
myanmar,0,0,0,0,0,10.16292446
nicaragua,0,0,5.298317367,0,0,0
niue,0,0,0,0,0,10.61405708
northern mariana islands (the),0,0,0,0,0,5.313205979
paraguay,0,0,0,0,0,0
peru,14.57517415,0,0,0,0,0
philippines (the),0,0,0,0,8.414274137,15.03264487
portugal,0,14.10678816,0,0,0,0
puerto rico,0,0,0,0,0,11.54734622
romania,0,0,7.094234846,3.295836866,7.095893221,0
russian federation (the),0,0,0,0,8.699514748,8.711278615
saint lucia,0,0,0,0,0,6.214608098
saint vincent and the grenadines,0,0,0,0,0,8.700181193
samoa,0,0,0,0,0,0
senegal,0,0,6.909753282,0,0,0
slovakia,0,0,12.8831565,0,0,0
somalia,0,12.20607265,0,0,0,0
south africa,0,16.52356076,0,0,0,0
spain,0,0,0,3.258096538,0,0
syrian arab republic,0,0,0,0,5.220355825,0
taiwan (province of china),0,0,0,0,0,12.94003062
tanzania united republic of,0,12.44508955,0,0,0,0
thailand,0,0,8.529714472,0,0,8.294299609
tonga,0,0,0,0,0,0
trinidad and tobago,0,0,0,0,0,7.353081921
turkey,2.302585093,0,2.079441542,0,7.410347098,0
turks and caicos islands (the),0,0,0,0,0,5.298317367
united states of america (the),1.098612289,0,0,0,14.59119257,17.87823754
uruguay,7.60090246,0,0,0,0,0
vanuatu,0,0,0,0,0,10.89692449
venezuela (bolivarian republic of),0,0,0,0,0,7.458762692
viet nam,0,0,0,0,0,13.18247022
virgin island (u.s.),0,0,0,0,0,0
