country,cold wave,drought,flood,heat wave,storms,tropical cyclone
afghanistan,5.634789603,0,0,0,0,0
australia,0,13.06685067,7.584773078,0,0,0
austria,0,0,0,0,10.23995979,0
bangladesh,5.204006687,0,0,0,6.042632834,16.66954763
canada,0,0,0,0,13.12236338,0
chile,0,12.20607265,0,0,0,0
china,0,15.42534839,9.605014129,0,14.65706524,14.37372021
cyprus,0,0,0,0,0,0
france,13.55676574,0,0,0,0,0
germany,0,0,8.517193191,0,0,0
greece,1.609437912,0,0,0,0,0
hong kong,0,0,0,0,0,9.230535079
india,0,0,0,0,0,10.13161865
iran (islamic republic of),0,0,3.091042453,0,0,0
ireland,0,0,8.29404964,0,0,0
israel,0,0,1.609437912,0,0,0
japan,0,0,0,0,0,16.13571246
jordan,0,0,0.693147181,0,0,0
kenya,0,14.80876233,0,0,0,0
korea (the republic of),0,0,0,0,0,12.70933575
lao people's democratic republic (the),0,6.907755279,10.55750402,0,0,0
madagascar,0,0,0,0,0,12.42936019
maldives,0,0,0,0,10.89393911,0
mali,0,12.6181823,0,0,0,0
marshall islands (the),0,0,0,0,0,8.699514748
mauritania,0,0,5.717027701,0,0,0
mauritius,0,0,0,0,0,8.9226583
mexico,0,0,9.211639528,0,0,0
mongolia,0,0,0,0,1.791759469,0
mozambique,0,15.0244709,0,0,0,0
namibia,0,12.61153775,0,0,0,0
nepal,0,0,5.141663557,0,0,0
pakistan,0,0,0,6.650279049,0,0
peru,3.218875825,0,0,0,0,0
philippines (the),0,0,0,0,0,14.43228844
samoa,0,0,0,0,0,12.81042413
south africa,0,13.81551056,0,0,0,0
soviet union,0,0,0,0,10.08751599,0
sudan (the),0,15.96727276,0,0,0,0
taiwan (province of china),0,0,0,0,0,3.610917913
tanzania united republic of,0,13.59236701,0,0,0,0
thailand,0,14.73180129,0,0,0,14.4587314
turkey,0,0,1.386294361,0,0,0
united kingdom of great britain and northern irela,0,0,13.71020337,0,0,0
united states of america (the),0,14.10444185,10.36467115,0,13.84521304,14.22178867
viet nam,0,0,10.00635998,0,0,13.05244508
zambia,0,14.34613881,0,0,0,0
zimbabwe,0,15.4348988,0,0,0,0
