country,cold wave,drought,heat wave,severe winter conditions,storms,tropical cyclone
afghanistan,0,0,0,0,4.143134726,0
australia,0,0,4.934473933,0,13.8667159,0
bangladesh,0,0,0,0,8.572060093,0
belarus,0,0,0,10.35780631,0,0
belgium,0,0,0,0,0,0
bolivia (plurinational state of),0,10.84310411,0,0,0,0
brazil,0,17.28124646,0,0,0,0
bulgaria,0,0,0,0,13.2086163,0
burkina faso,0,15.20180492,0,0,0,0
canada,0,0,0,0,0,0
china,0,17.26250952,0,0,14.96468287,16.71277054
colombia,0,0,0,0,3.36729583,0
comoros (the),0,0,0,0,0,9.160204302
france,0,0,0,0,6.055902961,0
germany,0,0,0,0,12.89924233,0
guatemala,0,14.15198279,0,9.004668302,0,11.51297546
haiti,0,13.81551056,0,0,0,0
honduras,0,13.25638715,0,0,0,0
india,3.688879454,0,0,4.941642423,9.361343246,15.88490745
ireland,0,0,0,0,0,0
italy,0,0,0,0,12.4292362,0
jamaica,0,11.42458593,0,0,0,0
japan,0,0,9.742555598,0,15.62209246,13.1078871
kenya,0,14.28551419,0,0,0,0
korea (the republic of),0,0,0,0,9.315690888,2.63905733
kyrgyzstan,0,0,0,0,0,0
lesotho,0,0,0,0,7.863266724,0
macedonia (the former yugoslav republic of),0,0,0,9.082507,0,0
madagascar,0,9.903487553,0,0,0,7.469083885
malaysia,0,14.60396792,0,0,0,0
mexico,0,0,0,0,0,14.80268986
morocco,0,0,0,0,12.940959,0
nepal,0,0,0,0,5.552959585,0
nicaragua,0,13.03898177,0,0,0,0
pakistan,0,0,9.805819595,0,4.584967479,0
papua new guinea,0,0,0,0,0,9.421087403
peru,11.60606966,0,0,0,0,0
philippines (the),0,0,0,0,0,16.46396701
poland,4.356708827,0,0,0,0,0
portugal,0,0,0,0,1.994492023,0
r�union,0,0,0,0,0,11.35353106
romania,2.564949357,0,0,0,0,0
senegal,0,13.36875772,0,0,0,0
serbia,0,0,0,8.006367568,0,0
slovenia,0,0,0,10.81979828,0,0
somalia,0,12.76568843,0,0,0,0
spain,0,0,0,0,1.098612289,0
sri lanka,0,14.41709054,0,0,0,0
switzerland,0,0,0,0,0.693147181,0
taiwan (province of china),0,0,0,0,0,12.94800999
thailand,13.81557356,0,0,0,7.60090246,0
tonga,0,0,0,0,0,10.46353182
united kingdom of great britain and northern irela,0,0,0,0,11.67848228,0
united states of america (the),14.73180969,14.60396792,0,0,16.06685667,11.10998217
vanuatu,0,0,0,0,0,9.904387148
viet nam,0,0,0,0,0,10.9821182
