country,cold wave,drought,flood,heat wave,storms,tropical cyclone
argentina,0,0,0,0,5.886104031,0
bangladesh,0,0,10.8376182,0,0,6.907755279
costa rica,0,0,0,0,0,0
ethiopia,0,14.9711331,0,0,0,0
fiji,0,0,0,0,0,8.733755131
hong kong,0,0,0,0,0,5.624017506
india,5.564520407,0,0,0,0,0
indonesia,0,0,0,0,0,7.408530567
italy,0,0,13.09198252,0,0,0
jamaica,0,0,0,0,0,8.34664209
japan,0,0,4.615120517,0,0,0
philippines (the),0,0,0,0,0,15.05457151
portugal,0,0,2.397895273,0,0,0
spain,0,0,2.944438979,0,0,0
tonga,0,0,0,0,0,7.24636808
united states of america (the),0,0,10.82568083,3.091042453,0,0
viet nam,0,0,0,0,0,11.91905702
