country,cold wave,drought,heat wave,severe winter conditions,storms,tropical cyclone
argentina,0,0,0,0,2.772588722,0
armenia,0,0,0,9.392661929,11.72803684,0
australia,0,0,0,0,0,14.51240371
bangladesh,0,0,0,0,10.88922972,14.2200826
belarus,0,0,0,9.335121089,0,0
belgium,0,0,0,0,0,0
bolivia (plurinational state of),0,12.73774447,9.770413198,0,0,0
brazil,0,0,0,0,11.55085689,0
canada,0,0,0,2.302585093,14.15910026,0
central african republic,0,0,0,0,9.07612303,0
chile,0,0,0,13.81551056,0,0
china,0,15.42494847,3.688879454,0,14.68465811,16.79856085
denmark,0,0,0,0,0.693147181,0
ecuador,0,8.059908335,0,0,0,0
france,0,0,0,0,0.693147181,0
georgia,0,0,0,0,7.467371067,0
germany,0,0,0,0,8.790675527,0
hungary,0,0,0,0,9.546812609,0
india,0,0,6.32256524,0,3.713572067,16.46349506
israel,0,0,0,0,14.51015861,0
japan,0,0,10.90297908,0,9.740674462,10.97423178
madagascar,0,0,0,0,0,11.15525002
marshall islands (the),0,8.761550139,0,0,0,0
mexico,0,0,0,0,0,15.58574161
namibia,0,12.88664104,0,0,0,0
nepal,3.891820298,0,0,0,0,0
netherlands (the),0,0,0,0,9.210540352,0
new zealand,0,13.62071148,0,0,9.903487553,0
palau,0,0,0,0,0,0
palestine state of,0,0,0,0,10.82121725,0
panama,0,12.20607265,0,0,0,0
paraguay,0,11.22524339,0,0,11.22524339,0
peru,0,0,0,11.43714533,0,0
philippines (the),0,0,0,0,0,17.15087254
poland,3.218875825,0,0,0,4.043051268,0
portugal,0,0,0,0,4.143008734,0
seychelles,0,0,0,0,0,9.417354541
somalia,0,0,0,0,0,11.86739197
south africa,0,0,0,0,7.963112059,0
spain,0,0,0,0,0,0
sri lanka,0,0,0,0,0,8.901911226
sweden,0,0,0,0,1.945910149,0
switzerland,0,0,0,0,6.21477607,0
taiwan (province of china),0,0,0,0,0,11.02937448
tajikistan,0,0,0,7.824046011,0,0
united kingdom of great britain and northern irela,0,0,6.633318433,0,8.345455428,0
united states of america (the),0,0,0,2.944438979,16.50862403,0
viet nam,0,0,0,0,0,15.05032862
zimbabwe,0,14.60396792,0,0,0,0
