country,cold wave,drought,flood,heat wave,storms,tropical cyclone
antigua and barbuda,0,0,0,0,0,11.53299276
argentina,0,0,8.29404964,0,0,0
bangladesh,10.437639,0,5.996452089,0,0,12.34654303
belgium,0,0,0,0,6.214608098,0
belize,0,0,0,0,0,11.00308269
brazil,0,16.13022183,0,0,0,0
bulgaria,5.786897381,0,0,0,0,0
burkina faso,0,9.937888979,0,0,0,0
cabo verde,0,9.210340372,0,0,0,0
canada,0,0,14.22232675,0,0,0
china,0,0,16.21692173,0,11.81311894,11.49277378
colombia,0,11.51292546,0,0,0,0
costa rica,0,10.04324949,0,0,0,11.58801438
cuba,0,13.81551056,0,0,0,14.57958487
cyprus,0,0,0,5.023880521,0,0
dominican republic (the),0,0,0,0,0,14.89983526
el salvador,0,12.04355372,0,0,0,13.06595174
ethiopia,0,9.655026193,0,0,0,0
fiji,0,12.48163785,0,0,0,0
france,0,0,0,0,11.92301984,0
germany,0,0,11.91851057,0,0,0
guadeloupe,0,0,0,0,0,8.517193191
guatemala,0,0,0,0,0,13.65778483
guinea,0,2.48490665,0,0,0,0
haiti,0,0,0,0,0,12.16639063
honduras,0,0,0,0,0,15.59388079
india,4.605170186,0,9.908475094,7.840312983,10.8346669,15.43944568
iraq,0,0,0,0,0,0
ireland,0,0,3.951243719,0,0,0
italy,0,0,0,2.302585093,0,0
japan,0,0,6.216606101,0,0,15.0348361
korea (the republic of),0,0,10.25248812,0,8.492900499,0
malaysia,0,8.517193191,0,0,0,0
mexico,4.605170186,0,8.30498958,0,0,7.890208213
micronesia (federated states of),0,10.26813067,0,0,0,0
mozambique,0,0,0,0,0,0
namibia,0,10.16585182,0,0,0,0
netherlands (the),0,0,0,0,4.605170186,0
nicaragua,0,0,0,0,0,14.43568912
pakistan,0,0,2.48490665,0,0,0
panama,0,0,0,0,0,8.929700114
philippines (the),0,14.77102508,0,0,0,15.83825343
poland,4.158883083,0,0,0,0,0
puerto rico,0,0,0,0,0,14.37512635
romania,7.473069088,0,0,2.995732274,0,0
russian federation (the),5.805134969,0,11.98397854,0,0,0
saint kitts and nevis,0,0,0,0,0,12.92392463
solomon islands,0,5.940171253,0,0,0,0
south africa,0,0,0,0,12.01477896,0
spain,0,0,0,0,6.907755279,0
switzerland,0,0,0,0,6.907755279,0
taiwan (province of china),0,0,0,0,0,13.17876829
tonga,0,0,0,0,0,8.180600948
uganda,0,11.75665565,0,0,0,0
united kingdom of great britain and northern irela,0,0,13.92474157,0,13.12837527,0
united states of america (the),0,0,15.0521363,15.26832507,15.07841026,14.9872624
vanuatu,0,0,0,0,0,7.783224016
viet nam,0,0,0,0,6.295266001,14.78373432
virgin island (u.s.),0,0,0,0,0,11.51292546
zimbabwe,0,10.91508846,0,0,0,0
