country,cold wave,drought,flood,heat wave,storms,tropical cyclone
albania,0,0,0,0,11.73611702,0
argentina,5.298317367,0,8.517793011,0,0,0
australia,0,14.50865774,4.859812404,0,0,0
austria,0,0,5.707110265,0,8.517593111,0
bangladesh,10.83368119,0,6.948897222,0,0,11.51771398
barbados,0,0,0,0,0,7.696212639
belgium,0,0,0,0,8.518192692,0
bolivia (plurinational state of),0,0,0,0,9.401373869,0
brazil,0,0,0,0,0,0
cabo verde,0,10.30895266,0,0,0,0
cambodia,0,13.44154412,0,0,0,0
cayman islands (the),0,0,0,0,0,7.495541944
chile,10.1266311,0,0,0,0,0
china,0,18.00167437,15.78789779,8.16251625,18.42321116,12.10085101
cuba,0,0,0,0,0,12.82118531
czech republic (the),0,0,0,0,9.903587548,0
denmark,0,0,0,0,0,0
el salvador,0,0,0,0,0,6.214608098
france,0,0,5.525452939,0,6.914730893,0
gambia (the),0,0,0,0,0,0
germany,0,0,12.42933619,0,14.40330333,0
greece,0,0,2.63905733,0,0,0
guam,0,0,0,0,0,11.88548852
guatemala,0,0,0,0,0,7.379008128
guinea-bissau,0,11.51292546,0,0,0,0
haiti,0,0,0,0,0,5.537334267
honduras,0,11.31447453,0,0,0,0
india,6.802394763,19.52232417,0,6.937314081,9.23122085,8.630343289
italy,0,0,0,0,0,0
jamaica,0,0,0,0,0,7.837554361
japan,0,0,9.939337205,0,0,11.56743259
jordan,0,0,3.401197382,0,0,0
korea (the democratic people's republic of),0,0,0,0,0,8.975124239
korea (the republic of),0,0,9.212338375,0,0,15.27151963
lebanon,0,0,6.214608098,0,0,0
lesotho,0,13.12236338,0,0,0,0
madagascar,0,13.30468493,0,0,0,13.17742715
malawi,0,14.8557643,0,0,0,0
malaysia,0,0,0,0,5.056245805,0
mauritius,0,0,0,0,0,10.84061959
mexico,3.912023005,12.25486281,0,0,0,14.1152788
micronesia (federated states of),0,0,0,0,0,7.682482447
mongolia,0,0,13.40754683,0,0,0
mozambique,0,13.30469993,8.299037182,0,0,0
namibia,0,12.7512997,0,0,0,0
nepal,5.560681631,0,0,0,0,0
netherlands (the),0,0,0,0,12.61155109,0
nicaragua,0,0,0,0,0,7.171656823
niger (the),0,0,7.136483209,0,0,0
nigeria,0,0,0,4.094344562,0,0
northern mariana islands (the),0,0,0,0,0,5.703782475
oman,0,0,0,0,0,10.82157667
pakistan,0,0,0,4.919980926,3.258096538,0
paraguay,0,0,0,0,9.433483923,0
peru,0,9.975808214,0,0,11.37068195,0
philippines (the),0,6.115892125,12.5250208,0,0,13.4881267
poland,5.209486153,0,4.663439094,0,3.970291914,0
r�union,0,0,0,0,0,10.87993221
romania,2.302585093,0,0,0,0,0
russian federation (the),10.13871776,0,8.007034012,0,0,1.791759469
saint vincent and the grenadines,0,0,0,0,0,9.306014122
senegal,0,12.55672952,0,0,0,0
seychelles,0,0,0,0,0,8.824677891
solomon islands,0,0,0,0,0,7.012115294
south africa,0,0,5.010635294,0,11.6538172,0
sudan (the),0,0,0,0,3.496507561,0
sweden,0,0,0,0,0,0
switzerland,0,0,1.098612289,0,0,0
taiwan (province of china),0,0,3.931825633,0,0,1.945910149
thailand,0,15.42540836,0,0,10.379877,0
turkey,0,0,2.302585093,0,0,0
uganda,0,13.39251112,4.605170186,0,0,0
united kingdom of great britain and northern irela,0,0,4.043051268,0,12.89923733,0
united states of america (the),0,15.00943303,13.30693074,2.63905733,15.03324987,14.65414284
uruguay,0,0,10.18497548,0,0,0
viet nam,0,14.22097567,0,0,7.549609165,0
