country,cold wave,drought,flood,heat wave,storms,tropical cyclone
anguilla,0,0,0,0,0,0
australia,0,0,0,0,9.835369298,10.35140532
bangladesh,0,7.609862201,0,0,0,5.313205979
brazil,0,15.42494847,0,0,0,0
china,0,0,0,0,0,0
dominica,0,0,0,0,0,11.66813273
dominican republic (the),0,0,0,0,0,14.34931025
egypt,0,0,0,0,9.61600546,0
fiji,0,0,0,0,0,10.48996781
germany fed rep,11.28978191,0,0,0,0,0
guadeloupe,0,0,0,0,0,11.51292546
haiti,0,0,0,0,0,7.019296654
hong kong,0,0,0,0,0,10.02583792
india,0,16.13789828,0,5.991464547,0,14.29742176
japan,0,0,0,0,0,4.262679877
kenya,0,10.59663473,0,0,0,0
korea (the republic of),0,0,0,0,0,11.22677555
martinique,0,0,0,0,0,11.15629338
mauritius,0,0,0,0,0,12.54348016
mozambique,0,15.60727003,0,0,0,0
nepal,0,15.06827353,0,0,0,0
pakistan,0,0,0,4.248495242,0,0
philippines (the),0,0,0,0,0,13.32454148
puerto rico,0,0,0,0,0,8.41249912
senegal,0,13.76421726,0,0,0,0
solomon islands,0,0,0,0,0,8.699848026
sri lanka,0,0,0,0,0,0
uganda,0,13.12236338,0,0,0,0
united states of america (the),0,0,4.605170186,0,13.24496147,14.64843316
vanuatu,0,0,0,0,0,0
