country,drought,flood,storms,tropical cyclone
australia,13.30568443,0,0,0
bangladesh,0,0,0,5.673323267
belgium,0,0,4.605170186,0
cook islands (the),0,0,0,0
france,0,0,9.903737521,0
hong kong,0,0,0,7.31521839
india,0,0,0,6.907755279
japan,0,0,0,8.123854263
korea (the republic of),14.84512998,0,0,0
martinique,0,0,0,6.922643891
mauritius,0,0,0,10.25850112
mexico,0,3.526360525,0,13.02822191
myanmar,0,0,0,12.01972499
nepal,0,0,0,0
philippines (the),0,0,0,12.00522249
saint lucia,0,0,0,8.006367568
saint vincent and the grenadines,0,0,0,8.412277021
solomon islands,0,0,0,2.48490665
taiwan (province of china),0,0,0,5.463831805
tanzania united republic of,10.88711913,0,0,0
uganda,10.13459927,0,0,0
united states of america (the),0,5.560681631,0,12.20614764
