country,cold wave,drought,flood,storms,tropical cyclone
bahamas (the),0,0,0,0,7.313220387
bangladesh,0,0,0,0,13.88511031
belgium,2.48490665,0,0,0,0
cuba,0,0,0,0,13.12585727
dominica,0,0,0,0,7.863266724
dominican republic (the),0,0,0,0,11.00874438
grenada,0,0,0,0,1.791759469
haiti,0,0,0,0,12.1281111
india,0,0,15.42498847,0,4.718498871
jamaica,0,0,0,0,9.35322786
japan,0,0,4.890349128,0,0
martinique,0,0,0,0,10.5968847
myanmar,0,0,0,0,5.298317367
paraguay,0,9.503009986,0,0,0
philippines (the),0,0,0,0,7.601402335
saint lucia,0,0,0,0,8.153349758
trinidad and tobago,0,0,0,0,10.30975234
united states of america (the),5.010635294,0,3.258096538,5.313205979,0
